iter,max_row_err,max_col_err,intervalT
0,,,T1
1,3.5527136788005e-15,1.86133227251935,T1
2,1.4210854715202e-14,0.0796450425976474,T1
0,,,T2
1,2.8421709430404e-14,7.39944524413809,T2
2,2.8421709430404e-14,0.993232384911011,T2
3,5.6843418860808e-14,0.158383489277071,T2
0,,,T3
1,1.4210854715202e-14,12.0529356001153,T3
2,2.8421709430404e-14,2.06727474510745,T3
3,1.4210854715202e-14,0.38985093135642,T3
0,,,T4
1,2.8421709430404e-14,12.1683665720617,T4
2,5.6843418860808e-14,2.11577664816764,T4
3,1.4210854715202e-14,0.398025069506559,T4
0,,,T5
1,2.8421709430404e-14,13.6079117773983,T5
2,5.6843418860808e-14,2.4633554390777,T5
3,5.6843418860808e-14,0.477096419962095,T5
0,,,T6
1,1.4210854715202e-14,11.3470921862275,T6
2,2.8421709430404e-14,2.11458650520663,T6
3,2.8421709430404e-14,0.421814804365852,T6
0,,,T7
1,2.8421709430404e-14,9.16265299737753,T7
2,1.4210854715202e-14,1.52459114928161,T7
3,2.8421709430404e-14,0.276185212995188,T7
0,,,T8
1,2.8421709430404e-14,17.6683550113125,T8
2,1.4210854715202e-14,3.8713568502323,T8
3,2.8421709430404e-14,0.913087432827524,T8
4,2.8421709430404e-14,0.217658731866663,T8
